size	name	format	file	total	CJK	其他字符	规范一二级	规范繁简	GBT2312	GBT12345	GBK	古籍	Big5常用	Big5完整
5270552	昆明海鸥体	ttf	*补充字体/叶根友昆明海鸥体.ttf	7506	6768	607	6311	6643	6763	4685	6768	4425	3330	4388
7244960	XiQuejuzhenti regular	ttf	*补充字体/喜鹊聚珍体.ttf	9457	9292	165	6391	9037	6763	6864	9292	6681	4947	6660
9487176	字制区 喜脉喜欢体	ttf	*补充字体/字制区喜脉喜欢体.ttf	7786	7391	387	6401	6949	6763	4696	7382	4730	3377	4716
2073020	字由文艺黑	ttf	*补充字体/字由文艺黑.ttf	7210	6782	427	6315	6653	6763	4688	6781	4435	3333	4398
2254572	字魂扁桃体	ttf	*补充字体/字魂扁桃体.ttf	7639	6767	872	6312	6644	6763	4686	6766	4424	3329	4385
8310464	KangXiZiDian.com 康熙字典体常用版	ttf	*补充字体/康熙字典體常用版7000字.ttf	9586	9374	212	6307	9017	6451	5929	9370	6814	5123	6867
2629764	得意黑 斜体	ttf	*补充字体/得意黑.ttf	9440	8336	1104	6500	8118	6763	4698	8074	5352	3404	5245
3997940	快看世界體 標準	ttf	*补充字体/快看世界体.ttf	6917	6765	152	6312	6643	6763	4686	6765	4423	3329	4385
13883256	思印宋 Regular	ttf	*补充字体/思印宋.ttf	10707	10450	257	6388	7373	6763	4940	10450	6223	3688	6431
1919404	抖音美好体 Bold	ttf	*补充字体/抖音美好体.ttf	7715	6763	823	6310	6641	6763	4685	6763	4422	3328	4384
3833600	YaoXingQingNianHei1.1 Regular	ttf	*补充字体/摇醒青年黑.ttf	7026	6901	125	6339	6734	6763	4687	6901	4499	3338	4462
6334896	文悦新恒古雅宋 简入繁出	otf	*补充字体/文悦新恒古雅宋.otf	6917	6775	142	6313	6649	6763	4687	6774	4431	3332	4393
8446392	文悦聚珍仿宋	ttf	*补充字体/文悦聚珍仿宋.ttf	9804	7979	1825	3702	5855	3777	5368	7941	6474	4789	6444
5159720	DOUYUFont	ttf	*补充字体/斗鱼追光体2.0.ttf	7752	6790	950	6317	6664	6763	4692	6789	4438	3337	4401
4301308	杨任东竹石体-Regular	ttf	*补充字体/杨任东竹石体-Regular.ttf	7347	6774	573	6314	6648	6763	4686	6773	4429	3330	4392
3709528	标小智龙珠体 Regular	ttf	*补充字体/标小智龙珠体.ttf	14318	10965	3352	6499	8934	6763	6346	10642	7091	5061	7062
7443008	演示魁本楷 春秋	ttf	*补充字体/演示魁本楷书.ttf	8438	7558	880	6341	7276	6763	5252	7557	5060	3794	5043
29415256	素材集市社会体	otf	*补充字体/素材集市社会体3.2.otf	6895	6765	130	6312	6643	6763	4686	6765	4423	3329	4385
10821144	绿城文澜月华行楷 Regular	ttf	*补充字体/绿城文澜月华行楷Regular.ttf	11522	11324	198	6500	10308	6763	6864	11053	7866	5361	7941
5590144	鼎猎宋刻体	ttf	*补充字体/缪克明鼎猎宋刻体.ttf	7504	6767	607	6311	6643	6762	4684	6767	4425	3330	4388
